position COMBINED_rate.cM.Mb. Genetic_Map.cM.
253938 0.2214599891 0
256859 0.2213076426 0.0006464396240346
259772 0.2213078499 0.0012911093907933
260970 0.2215185766 0.0015564886455601
261033 0.2216183478 0.0015704506014715
266034 0.5755014328 0.0044485332669043
266544 1.8320684644 0.0053828881837483
267039 1.8311074306 0.0062892863618953
267213 1.8285203221 0.0066074488979407
267614 1.7757860518 0.0073195391047125
276245 1.8047069888 0.0228959651250453
277717 1.8259604498 0.0255837789071509
277776 1.8701725155 0.0256941190855654
279645 2.206851283 0.0298187241334924
280299 2.2581877095 0.0312955788955054
281360 2.9319711942 0.0344064003325516
282753 3.2040043919 0.0388695784504683
288246 7.6205580626 0.0807293038883301
288320 8.4426668421 0.0813540612346455
288374 8.6596607153 0.0818216829132717
288738 8.6646864943 0.0849756287971969
292082 10.7762168499 0.121011297943262
292583 10.9856808764 0.126515124062339
292901 10.9988181409 0.130012748231145
292940 11.0156338444 0.130442357951077
293346 11.6691698183 0.135180040897307
293671 11.6691698183 0.138972521088254
293828 11.6766469023 0.140805754651915
293913 11.69667091 0.141799971679265
293934 11.7208345522 0.142046109204861
294212 12.4863524123 0.145517315175481
294457 16.2953562946 0.149509677467658
294526 16.3335293189 0.150636690990662
295131 16.3335293189 0.160518476228596
295295 11.2974756406 0.162371262233655
296458 8.2654431329 0.171983972597217
301619 3.4906424832 0.189999178453013
301639 1.2713735356 0.190024605923725
301668 0.5618966837 0.190040900927552
301900 0.5358903439 0.190165227487337
304499 0.5356132234 0.191557286254953
304526 0.5359767195 0.191571757626380
311037 0.7544876453 0.196484226684928
311825 0.9208013065 0.19720981811445
316040 0.5138953769 0.199375887128084
319822 0.3149122238 0.200566885158495
326481 0.2740389716 0.202391710670380
327182 0.2511468261 0.202567764595476
327323 0.2334270491 0.202600677809399
327683 0.2206966928 0.202680128618807
327821 0.2206069893 0.20271057238333
327998 0.2144909226 0.202748537276630
328855 0.2148346456 0.202932650567910
330263 0.2226478434 0.203246138731417
