position COMBINED_rate(cM/Mb) Genetic_Map(cM)
84170 0.590301256 0
85057 0.5915189237 0.0005246772853219
85065 0.57986529 0.0005293162076419
85561 0.5774423614 0.0008157276188963
88165 0.584672005 0.0023382135199163
89475 0.6522440796 0.0031926532641923
91010 0.7776298861 0.0043863151393558
94808 0.7270876443 0.0071477940124072
95254 0.6990703134 0.0074595793721836
95481 0.6745247949 0.0076126965006259
97354 1.0102559353 0.0095049058674428
101263 1.8855707286 0.0168756018455402
103423 1.8873715382 0.0209523243680522
105320 1.1649976717 0.0231623249512671
105444 0.6692633746 0.0232453136097175
107275 0.6676123973 0.0244677119091738
108585 0.6707247176 0.0253463612892298
110165 0.6894665898 0.0264357185011138
113970 3.6391235286 0.0402825835274368
115041 3.778668339 0.0443295373185058
115072 3.8631976666 0.0444492964461704
115185 3.8834258924 0.0448881235720116
115657 2.4363218587 0.046038067489318
117194 0.7923458362 0.0472559030395574
119019 0.6575594726 0.0484559490770524
119729 0.5987099104 0.0488810331134364
120334 0.5934521458 0.0492400716616454
121845 0.5932017258 0.0501363994693292
124161 0.5951738733 0.051514822159892
128954 1.3764374307 0.0581120867652371
129277 2.7198335908 0.0589905930150655
130406 3.0028509428 0.0623808117294867
130853 3.0503333746 0.0637443107479329
131779 3.7449817706 0.0672121638675085
133093 3.7128735522 0.0720908797150993
133878 3.5355229055 0.0748662651959168
133946 3.0392996411 0.0750729375715116
134457 1.3390706634 0.075757202680509
136888 1.281260868 0.078871947850617
141659 1.2184732728 0.0846852838351458
142825 1.2158538005 0.0861029693665288
143503 1.0557855447 0.0868187919658354
145032 1.0573998897 0.0884355563971867
145282 0.4875785749 0.0885574510409117
145884 0.3976381474 0.0887968292056465
146172 0.399692218 0.0889119405644305
147705 0.4008798732 0.0895264894100461
147814 0.4022403799 0.0895703336114552
148009 0.4034588921 0.0896490080954147
152220 0.4031413937 0.0913466365042854
152472 0.4030654622 0.0914482090007598
154844 0.4029629458 0.0924040371081974
155320 0.4039468382 0.0925963158031806
155966 0.4045733717 0.0928576702012988
157141 0.40702276 0.0933359219442988
161938 0.4539106344 0.0955133312575156
162998 0.4729468698 0.0960146549395036
163351 0.4793313912 0.0961838589205972
163418 0.4861171954 0.096216428772689
163598 0.4934064394 0.096305241931781
163626 0.4996800889 0.0963192329742702
164935 0.4466813292 0.096903938834193
167408 0.4415563938 0.0979959077960604
168534 0.4198154332 0.0984686199738436
168691 0.5237231786 0.0985508445128838
170328 0.3956776659 0.0991985688519621
175186 0.4004398487 0.101143905636947
176743 0.3993431152 0.101765682867313
180719 0.3994612899 0.103353940955956
182467 0.4017547084 0.104056208186239
184242 0.5801720886 0.105086013643504
184390 0.9115398934 0.105220921547727
185102 0.9105169874 0.105869209642756
185123 1.4657398499 0.105899990179604
187429 5.42312572 0.118405718089924
190005 5.423963744 0.132377848694468
192314 5.4148197777 0.144880667561177
195176 5.241598449 0.159882122322215
198835 5.1424537644 0.178698360646154
200073 5.1424537644 0.185064718406482
201389 5.1468304986 0.191837947342639
202927 5.0944570957 0.199673222355826
205035 0.4208156259 0.200560301695223
212649 0.418695205 0.203748246986093
221057 0.4005082013 0.207115719942624
225653 0.3637456361 0.208787494886139
228306 0.3548419592 0.209728890603897
234364 0.3540735779 0.211873868338815
234428 0.3535344425 0.211896494543135
235490 0.3513226449 0.212269599192019
240280 0.3041709814 0.213726578192925
241210 0.242412036 0.213952021386405
247888 0.240011168 0.215554815966309
252479 0.238402107 0.216649320039546
256278 0.2381145291 0.217553917135597
259732 0.2374074105 0.218373922331464
262299 0.2366923414 0.218981511571837
264642 0.2362917217 0.219535143075781
265159 0.2360879711 0.219657200556839
269033 0.2360850866 0.220571794182328
276161 0.2361929467 0.222255377506405
276549 0.2462980022 0.222350941131259
277124 0.2606632687 0.222500822510761
277458 0.284689216 0.222595908708905
277912 0.3175158918 0.222740060923782
284556 0.4075826616 0.225448040127453
285313 0.5752907387 0.225883535216649
286982 0.5878326428 0.226864627897482
293562 0.9004050646 0.23278929322255
293915 1.5726306716 0.233344431849625
294386 1.5699196913 0.234083864024227
295718 1.0289566736 0.235454434313462
295795 0.4473162483 0.235488877664581
298137 0.4357403385 0.236509381537348
298250 0.4351640361 0.236558555073428
298588 0.4344410088 0.236705396134402
300641 0.4336431594 0.237595665540650
304514 0.4325092446 0.239270773844986
304803 0.430919694 0.239395309636552
304849 0.4303758315 0.239415106924801
305377 0.4295490424 0.239641908819188
309155 0.4297249782 0.241265409786828
310380 0.4312735338 0.241793719865733
311853 2.0640097678 0.244834006253702
312635 2.0722671488 0.246454519164064
318413 2.142136142 0.25883178179254
318474 2.2363323167 0.258968198063859
319511 7.0513200445 0.266280416950005
324403 7.0595305249 0.300815640277816
326455 7.08120884 0.315346280817496
326826 7.0855270085 0.317975011337649
328916 7.122179581 0.332860366661939
329671 7.2357514482 0.338323359005330
329819 7.3433396284 0.339410173270334
333146 7.1706476885 0.363266918129973
334890 1.4488696027 0.365793746717082
335373 1.1894161625 0.366368234723569
336396 1.1456756447 0.367540260908097
336916 1.0191999702 0.368070244892601
337017 0.5777278926 0.368128595409754
337678 0.4247299606 0.368409341913711
339385 0.4220199323 0.369129729938147
339415 0.4129216796 0.369142117588535
341079 0.4130737816 0.369829472361117
341385 0.4100447791 0.369954946063522
341664 0.4113078919 0.370069700965362
342191 0.4128123441 0.370287253070703
346474 0.7696976686 0.373583868185316
346772 0.9297117923 0.373860922299422
347184 1.0691609456 0.374301416609009
347326 1.1768730874 0.37446853258742
348222 0.6043768077 0.375010054207119
348687 0.5995634016 0.375288851188863
349221 0.606435138 0.375612687552555
349293 0.604299869 0.375656197143123
349331 0.6005347531 0.375679017463741
351673 0.7011135148 0.377321025315402
352736 0.7438402881 0.378111727541653
354143 0.7437657313 0.379158205925592
356105 0.7438670101 0.380617672999408
356689 0.7437804122 0.381052040760133
357424 0.7439271039 0.381598827181499
358308 0.7442432876 0.382256738247738
359567 0.8136853198 0.383281168065366
359953 0.7684614071 0.383577794168507
360303 0.7567569569 0.383842659103422
360317 0.7414569521 0.383853039500751
360888 0.7377883881 0.384274316670356
362459 0.5915675069 0.385203669223696
362638 0.4548290196 0.385285083618204
367174 0.4714089871 0.38742339478369
367984 0.4714512671 0.387805270310041
369140 0.4715313733 0.388350360577576
369384 0.4900629524 0.388469935937961
369663 0.505337561 0.388610925117480
372597 0.506810047 0.390097905795378
373817 0.5072294889 0.390716725771836
375198 0.5068404259 0.391416672400004
375782 0.505973718 0.391712161051316
375900 0.505139318 0.39177176749084
376781 0.5036327571 0.392215467949845
377794 0.4954314661 0.392717340025005
